# Field minima and maxima
# Time         	field          	min            	location(min)  	processor      	max            	location(max)  	processor      
0.00011976048  	p              	-2.78753233e+01	(2.03690635e+00 5.00000000e-01 5.74996541e-01)	3	5.12904764e+03	(3.19483362e+00 2.25000008e-01 0.00000000e+00)	2
0.00011976048  	p_rgh          	-2.22346072e+01	(2.03690665e+00 4.75000182e-01 5.74996538e-01)	3	5.38923105e+03	(3.19483435e+00 4.75000000e-01 5.24999858e-01)	2
0.00011976048  	U              	(-1.12815279e-04 -1.81357706e-05 3.88678694e-06)	(4.75862105e-01 7.52401440e-02 2.50050664e-02)	0	(-7.66449992e-06 1.53812556e-06 6.87797367e-05)	(2.50054339e-02 -2.75074021e-01 2.24978989e-01)	0
0.00011976048  	alpha.water    	0.00000000e+00	(2.50038585e-02 -4.75014650e-01 2.49980762e-02)	0	1.00000000e+00	(2.23828753e+00 -4.75000109e-01 2.49998516e-02)	2
0.00011976048  	k              	9.97250101e-02	(7.48321671e-01 -2.06959817e-01 6.87515557e-02)	1	1.00000000e-01	(2.23841170e+00 -4.75000030e-01 1.00000000e+00)	2
0.00011976048  	epsilon        	9.89886022e-02	(8.34130880e-01 2.09489237e-01 1.69623915e-01)	1	2.32124058e+00	(7.48321654e-01 2.06959814e-01 6.87515549e-02)	1
0.00026278378  	p              	-2.36097228e+01	(2.03690635e+00 5.00000000e-01 5.74996541e-01)	3	5.12604220e+03	(3.19483357e+00 -4.75000008e-01 0.00000000e+00)	2
0.00026278378  	p_rgh          	-1.79690067e+01	(2.03690665e+00 4.75000182e-01 5.74996538e-01)	3	5.38939367e+03	(3.19483440e+00 -2.50000005e-02 5.24999861e-01)	2
0.00026278378  	U              	(-8.76711825e-04 -6.50322908e-04 2.69769760e-06)	(6.55988957e-01 2.09123197e-01 6.24140037e-03)	1	(9.98048538e-03 2.69972354e-04 3.14042644e-02)	(1.93616222e+00 -4.75000326e-01 5.74995329e-01)	3
0.00026278378  	alpha.water    	-3.87663291e-24	(1.93614071e+00 -1.75002036e-01 5.24995086e-01)	3	1.00000000e+00	(2.23828775e+00 2.50001085e-02 2.49998486e-02)	2
0.00026278378  	k              	9.93980712e-02	(7.48321654e-01 2.06959814e-01 6.87515549e-02)	1	1.00000000e-01	(2.23841170e+00 -4.75000030e-01 1.00000000e+00)	2
0.00026278378  	epsilon        	9.80308075e-02	(8.34130880e-01 2.09489237e-01 1.69623915e-01)	1	2.31167242e+00	(7.48321654e-01 2.06959814e-01 6.87515549e-02)	1
0.0004329322   	p              	-1.89385139e+01	(2.03690635e+00 -5.00000000e-01 5.74996541e-01)	3	5.12568125e+03	(3.19483357e+00 -4.75000008e-01 0.00000000e+00)	2
0.0004329322   	p_rgh          	-1.32977978e+01	(2.03690665e+00 -4.75000182e-01 5.74996538e-01)	3	5.38944452e+03	(3.19483440e+00 -2.50000005e-02 5.24999861e-01)	2
0.0004329322   	U              	(-1.26681941e-03 -9.53928571e-04 4.44615850e-06)	(6.55988957e-01 2.09123197e-01 6.24140037e-03)	1	(1.44923028e-02 5.51917810e-04 4.65857067e-02)	(1.93616222e+00 -4.75000326e-01 5.74995329e-01)	3
0.0004329322   	alpha.water    	-9.22383822e-24	(1.93614288e+00 -4.75000363e-01 5.24995299e-01)	3	1.00000001e+00	(2.23828775e+00 2.50001085e-02 2.49998486e-02)	2
0.0004329322   	k              	9.90129842e-02	(7.48321671e-01 -2.06959817e-01 6.87515557e-02)	1	1.00000000e-01	(2.23841170e+00 -4.75000030e-01 1.00000000e+00)	2
0.0004329322   	epsilon        	9.71476192e-02	(8.34130880e-01 2.09489237e-01 1.69623915e-01)	1	2.30031382e+00	(7.48321654e-01 2.06959814e-01 6.87515549e-02)	1
0.00063675582  	p              	-1.52719388e+01	(2.03690728e+00 3.25001038e-01 5.74996492e-01)	3	5.12486889e+03	(3.19483360e+00 4.25000000e-01 0.00000000e+00)	2
0.00063675582  	p_rgh          	-9.63122320e+00	(2.03690728e+00 3.25001038e-01 5.74996492e-01)	3	5.38947770e+03	(3.19483440e+00 2.50000005e-02 5.24999861e-01)	2
0.00063675582  	U              	(-2.63437491e-02 -1.41616913e-03 -1.85678419e-02)	(2.08728815e+00 -4.75000125e-01 6.24997131e-01)	3	(1.86931450e-02 6.88181209e-04 5.84856765e-02)	(1.93616222e+00 -4.75000326e-01 5.74995329e-01)	3
0.00063675582  	alpha.water    	-4.41975582e-23	(1.93614288e+00 -4.75000363e-01 5.24995299e-01)	3	1.00000001e+00	(2.23828775e+00 2.50001085e-02 2.49998486e-02)	2
0.00063675582  	k              	9.85568570e-02	(7.48321654e-01 2.06959814e-01 6.87515549e-02)	1	1.00000000e-01	(2.23841170e+00 -4.75000030e-01 1.00000000e+00)	2
0.00063675582  	epsilon        	9.64000385e-02	(8.34130880e-01 2.09489237e-01 1.69623915e-01)	1	2.28695906e+00	(7.48321654e-01 2.06959814e-01 6.87515549e-02)	1
0.00087879638  	p              	-1.29554851e+01	(2.03690696e+00 -2.25001151e-01 5.74996445e-01)	3	5.12429624e+03	(3.19483357e+00 -4.75000008e-01 0.00000000e+00)	2
0.00087879638  	p_rgh          	-7.31476996e+00	(2.03690696e+00 -2.25001151e-01 5.74996445e-01)	3	5.38947766e+03	(3.19483440e+00 -2.50000005e-02 5.24999861e-01)	2
0.00087879638  	U              	(-3.19598593e-02 -1.53671190e-03 -2.00773079e-02)	(2.08728815e+00 -4.75000125e-01 6.24997131e-01)	3	(1.26224876e-01 8.17817143e-04 1.46739724e-01)	(1.98653560e+00 4.75000242e-01 5.74995974e-01)	3
0.00087879638  	alpha.water    	-2.64262433e-21	(1.93601195e+00 -4.75000659e-01 1.24998418e-01)	3	1.00000001e+00	(2.23828775e+00 2.50001085e-02 2.49998486e-02)	2
0.00087879638  	k              	9.80221217e-02	(7.48321654e-01 2.06959814e-01 6.87515549e-02)	1	1.00000000e-01	(2.23841170e+00 -4.75000030e-01 1.00000000e+00)	2
0.00087879638  	epsilon        	9.58775226e-02	(8.34130880e-01 2.09489237e-01 1.69623915e-01)	1	2.27117407e+00	(7.48321654e-01 2.06959814e-01 6.87515549e-02)	1
0.0011685116   	p              	-1.15731747e+01	(2.03690628e+00 -2.50001869e-02 5.74996389e-01)	3	5.12399693e+03	(3.19483360e+00 4.25000000e-01 0.00000000e+00)	2
0.0011685116   	p_rgh          	-5.93246015e+00	(2.03690628e+00 -2.50001869e-02 5.74996389e-01)	3	5.38945609e+03	(3.19483440e+00 2.50000005e-02 5.24999861e-01)	2
0.0011685116   	U              	(-2.42745931e-03 -1.81600469e-03 6.89688474e-06)	(6.55988957e-01 2.09123197e-01 6.24140037e-03)	1	(1.41396263e-01 8.95617807e-04 1.46202864e-01)	(1.98653599e+00 4.25000706e-01 5.74995965e-01)	3
0.0011685116   	alpha.water    	-2.38067402e-20	(1.93601195e+00 -4.75000659e-01 1.24998418e-01)	3	1.00000002e+00	(2.23828775e+00 2.50001085e-02 2.49998486e-02)	2
0.0011685116   	k              	9.73913750e-02	(7.48321671e-01 -2.06959817e-01 6.87515557e-02)	1	1.00000000e-01	(2.23841170e+00 -4.75000030e-01 1.00000000e+00)	2
0.0011685116   	epsilon        	9.54183977e-02	(8.40246631e-01 1.25069939e-02 1.87733510e-01)	1	2.25271526e+00	(7.48321654e-01 2.06959814e-01 6.87515549e-02)	1
0.0015109023   	p              	-1.06610922e+01	(2.03690628e+00 2.50001873e-02 5.74996389e-01)	3	5.12370023e+03	(3.19483360e+00 -4.25000000e-01 0.00000000e+00)	2
0.0015109023   	p_rgh          	-5.02037765e+00	(2.03690628e+00 2.50001873e-02 5.74996389e-01)	3	5.38944080e+03	(3.19483440e+00 -2.50000005e-02 5.24999861e-01)	2
0.0015109023   	U              	(-2.90401970e-03 -2.19032995e-03 8.52786219e-06)	(6.55988957e-01 2.09123197e-01 6.24140037e-03)	1	(1.53742152e-01 1.23011129e-03 1.51817586e-01)	(1.98653599e+00 4.25000706e-01 5.74995965e-01)	3
0.0015109023   	alpha.water    	-1.32717728e-19	(1.93601195e+00 -4.75000659e-01 1.24998418e-01)	3	1.00000002e+00	(2.23828775e+00 2.50001085e-02 2.49998486e-02)	2
0.0015109023   	k              	9.66582925e-02	(7.48321671e-01 -2.06959817e-01 6.87515557e-02)	1	1.00006486e-01	(2.03692137e+00 -2.50001618e-02 6.24996512e-01)	3
0.0015109023   	epsilon        	9.44645160e-02	(8.40246631e-01 1.25069939e-02 1.87733510e-01)	1	2.23100685e+00	(7.48321654e-01 2.06959814e-01 6.87515549e-02)	1
0.0019128392   	p              	-1.01180360e+01	(2.03690628e+00 2.50001873e-02 5.74996389e-01)	3	5.12335685e+03	(3.19483360e+00 4.25000000e-01 0.00000000e+00)	2
0.0019128392   	p_rgh          	-4.47732139e+00	(2.03690628e+00 2.50001873e-02 5.74996389e-01)	3	5.38936172e+03	(3.19483435e+00 4.25000000e-01 5.24999860e-01)	2
0.0019128392   	U              	(-4.63669372e-02 -5.27429986e-03 -3.10216496e-02)	(2.08727523e+00 4.75000140e-01 5.74997023e-01)	3	(1.64936920e-01 1.56580150e-03 1.53265437e-01)	(1.98653599e+00 4.25000706e-01 5.74995965e-01)	3
0.0019128392   	alpha.water    	-6.00079133e-19	(1.88560837e+00 -4.75000918e-01 7.49989152e-02)	3	1.00000002e+00	(2.23828775e+00 2.50001085e-02 2.49998486e-02)	2
0.0019128392   	k              	9.58138262e-02	(7.48321671e-01 -2.06959817e-01 6.87515557e-02)	1	1.00018988e-01	(2.03692137e+00 -2.50001618e-02 6.24996512e-01)	3
0.0019128392   	epsilon        	9.34952558e-02	(8.40257549e-01 6.25477864e-02 1.87742543e-01)	1	2.20586451e+00	(7.48321654e-01 2.06959814e-01 6.87515549e-02)	1
0.0023888171   	p              	-9.81004884e+00	(2.28876383e+00 -4.75000031e-01 1.00000000e+00)	2	5.12307852e+03	(3.19483357e+00 4.75000008e-01 0.00000000e+00)	2
0.0023888171   	p_rgh          	-4.07553868e+00	(2.03690628e+00 -2.50001869e-02 5.74996389e-01)	3	5.38926997e+03	(3.19483435e+00 4.25000000e-01 5.24999860e-01)	2
0.0023888171   	U              	(-7.86566580e-02 -4.23685305e-03 -1.24110857e-03)	(1.98639069e+00 -4.75000504e-01 2.49997051e-02)	3	(1.75567983e-01 2.05348240e-03 1.51236362e-01)	(1.98653599e+00 4.25000706e-01 5.74995965e-01)	3
0.0023888171   	alpha.water    	-2.60814487e-18	(1.88560837e+00 -4.75000918e-01 7.49989152e-02)	3	1.00000002e+00	(2.23828775e+00 2.50001085e-02 2.49998486e-02)	2
0.0023888171   	k              	9.48350408e-02	(7.48321654e-01 2.06959814e-01 6.87515549e-02)	1	1.00033350e-01	(2.03692137e+00 -2.50001618e-02 6.24996512e-01)	3
0.0023888171   	epsilon        	9.25259553e-02	(8.40257549e-01 6.25477864e-02 1.87742543e-01)	1	2.17702006e+00	(7.48321654e-01 2.06959814e-01 6.87515549e-02)	1
0.0029569198   	p              	-9.81006754e+00	(2.28876383e+00 4.75000031e-01 1.00000000e+00)	2	5.12312507e+03	(3.19483360e+00 -4.25000000e-01 0.00000000e+00)	2
0.0029569198   	p_rgh          	-3.84954678e+00	(2.03690696e+00 -2.25001151e-01 5.74996445e-01)	3	5.38915597e+03	(3.19483435e+00 -4.25000000e-01 5.24999860e-01)	2
0.0029569198   	U              	(-9.46876986e-02 -4.63768847e-03 -3.73253361e-03)	(1.98639069e+00 -4.75000504e-01 2.49997051e-02)	3	(1.85651164e-01 2.68851532e-03 1.45324339e-01)	(1.98653599e+00 4.25000706e-01 5.74995965e-01)	3
0.0029569198   	alpha.water    	-1.11448041e-17	(1.88560837e+00 -4.75000918e-01 7.49989152e-02)	3	1.00000005e+00	(2.03686080e+00 4.75000248e-01 4.24996701e-01)	3
0.0029569198   	k              	9.36953953e-02	(7.48321654e-01 2.06959814e-01 6.87515549e-02)	1	1.00050125e-01	(2.03692137e+00 -2.50001618e-02 6.24996512e-01)	3
0.0029569198   	epsilon        	9.15839256e-02	(8.40272838e-01 -8.75912021e-02 1.87755533e-01)	1	2.14374639e+00	(7.48321654e-01 2.06959814e-01 6.87515549e-02)	1
0.003638643    	p              	-9.81009485e+00	(2.28876383e+00 -4.75000031e-01 1.00000000e+00)	2	5.12305210e+03	(3.19483360e+00 4.25000000e-01 0.00000000e+00)	2
0.003638643    	p_rgh          	-3.70931597e+00	(2.03690715e+00 -2.75001141e-01 5.74996472e-01)	3	5.38897203e+03	(3.19483435e+00 -4.25000000e-01 5.24999860e-01)	2
0.003638643    	U              	(-1.13162517e-01 -4.83111741e-03 -7.05651705e-03)	(1.98639069e+00 -4.75000504e-01 2.49997051e-02)	3	(1.95012570e-01 3.62299189e-03 1.34746942e-01)	(1.98653599e+00 4.25000706e-01 5.74995965e-01)	3
0.003638643    	alpha.water    	-5.01900074e-17	(1.93601195e+00 -4.75000659e-01 1.24998418e-01)	3	1.00000003e+00	(2.23832099e+00 2.50000914e-02 3.24998396e-01)	2
