# Region       : all 
# Cells        : 31280
# Volume       : 3.20955384e+00
# Time         	volIntegrate(alpha.water)
0.00011976048  	6.64600297e-01
0.00026278378  	6.64600297e-01
0.0004329322   	6.64600297e-01
0.00063675582  	6.64600297e-01
0.00087879638  	6.64600297e-01
0.0011685116   	6.64600297e-01
0.0015109023   	6.64600297e-01
0.0019128392   	6.64600297e-01
0.0023888171   	6.64600297e-01
0.0029569198   	6.64600297e-01
0.003638643    	6.64600297e-01
0.0044177552   	6.64600297e-01
0.0053343579   	6.64600297e-01
0.0063819037   	6.64600297e-01
0.0076199125   	6.64600297e-01
0.0089954778   	6.64600296e-01
0.010567552    	6.64600295e-01
0.012139627    	6.64600293e-01
0.013711702    	6.64600290e-01
0.015283776    	6.64600286e-01
0.016855851    	6.64600282e-01
0.018427925    	6.64600277e-01
0.02           	6.64600271e-01
0.021818182    	6.64600261e-01
0.023838384    	6.64600246e-01
0.026147186    	6.64600246e-01
0.028917749    	6.64600246e-01
0.031688312    	6.64600246e-01
0.034458874    	6.64600246e-01
0.037229437    	6.64600246e-01
0.04           	6.64600246e-01
0.042857143    	6.64600246e-01
0.046285714    	6.64600246e-01
0.049714286    	6.64600245e-01
0.053142857    	6.64600245e-01
0.056571429    	6.64600244e-01
0.06           	6.64600244e-01
0.064          	6.64600241e-01
0.068          	6.64600239e-01
0.072          	6.64600236e-01
0.076          	6.64600233e-01
0.08           	6.64600230e-01
0.084          	6.64600225e-01
0.088          	6.64600220e-01
0.092          	6.64600214e-01
0.096          	6.64600206e-01
0.1            	6.64600197e-01
0.104          	6.64600188e-01
0.108          	6.64600177e-01
0.112          	6.64600167e-01
0.116          	6.64600157e-01
0.12           	6.64600145e-01
0.124          	6.64600130e-01
0.128          	6.64600114e-01
0.132          	6.64600097e-01
0.136          	6.64600082e-01
0.14           	6.64600067e-01
0.144          	6.64600050e-01
0.148          	6.64600050e-01
0.152          	6.64600049e-01
0.156          	6.64600031e-01
0.16           	6.64600013e-01
0.164          	6.64600013e-01
0.168          	6.64600013e-01
0.172          	6.64600013e-01
0.176          	6.64600013e-01
0.18           	6.64600013e-01
0.184          	6.64600013e-01
0.188          	6.64600013e-01
0.192          	6.64600012e-01
0.196          	6.64600012e-01
0.2            	6.64600012e-01
0.204          	6.64600012e-01
0.208          	6.64600012e-01
0.212          	6.64600012e-01
0.216          	6.64600012e-01
0.22           	6.64600012e-01
0.224          	6.64600011e-01
0.228          	6.64600011e-01
0.232          	6.64600011e-01
0.236          	6.64600011e-01
0.24           	6.64600011e-01
0.244          	6.64600010e-01
0.248          	6.64600010e-01
0.252          	6.64600009e-01
0.256          	6.64600008e-01
0.26           	6.64600007e-01
0.264          	6.64600005e-01
0.268          	6.64600003e-01
0.272          	6.64600000e-01
0.276          	6.64599998e-01
0.28           	6.64599994e-01
0.284          	6.64599990e-01
0.288          	6.64599985e-01
0.292          	6.64599980e-01
0.296          	6.64599973e-01
0.3            	6.64599962e-01
0.304          	6.64599951e-01
