# y+ ()        
# Time         	patch          	min            	max            	average        
0.02           	left	2.78364399e+02	2.79710123e+02	2.79148272e+02
0.02           	right	2.80415222e+02	4.15388489e+03	2.41049363e+03
0.02           	stlSurface	5.30754547e+01	8.46441753e+01	5.79421582e+01
0.02           	back	2.75978640e+02	4.13154709e+03	1.09380263e+03
0.02           	bottom	6.01157564e+01	4.13454150e+03	1.45243301e+03
0.02           	top	0.00000000e+00	8.62565655e+01	1.68476108e+01
0.02           	front	2.75978788e+02	4.13154705e+03	1.09380266e+03
0.04           	left	2.65601057e+02	2.67550557e+02	2.66879263e+02
0.04           	right	2.67718906e+02	3.97362056e+03	2.30477696e+03
0.04           	stlSurface	4.60238467e+01	7.94014416e+01	5.12126516e+01
0.04           	back	2.63445078e+02	3.96711057e+03	1.05395286e+03
0.04           	bottom	5.12696849e+01	3.98638954e+03	1.39490661e+03
0.04           	top	0.00000000e+00	1.22307727e+02	2.35319974e+01
0.04           	front	2.63444969e+02	3.96711079e+03	1.05395295e+03
0.06           	left	2.53982636e+02	2.56757270e+02	2.55931399e+02
0.06           	right	2.56224960e+02	3.81332199e+03	2.21023379e+03
0.06           	stlSurface	4.02921715e+01	7.61870140e+01	4.66883094e+01
0.06           	back	2.52142881e+02	3.82888662e+03	1.01784160e+03
0.06           	bottom	4.47871172e+01	3.90070258e+03	1.38116898e+03
0.06           	top	0.00000000e+00	1.48665866e+02	2.82190659e+01
0.06           	front	2.52142809e+02	3.82888728e+03	1.01784166e+03
0.08           	left	2.43363081e+02	2.47098721e+02	2.46091772e+02
0.08           	right	2.45774105e+02	3.66961766e+03	2.12504587e+03
0.08           	stlSurface	3.58016433e+01	7.40656666e+01	4.34883530e+01
0.08           	back	2.41889468e+02	3.72013245e+03	9.86954069e+02
0.08           	bottom	3.98046370e+01	3.86746998e+03	1.34617049e+03
0.08           	top	0.00000000e+00	1.69028213e+02	3.17460011e+01
0.08           	front	2.41888818e+02	3.72013045e+03	9.86954174e+02
0.1            	left	2.33614713e+02	2.38393468e+02	2.37188485e+02
0.1            	right	2.36226241e+02	3.53979977e+03	2.04774123e+03
0.1            	stlSurface	3.22478246e+01	7.25964174e+01	4.11290076e+01
0.1            	back	2.32440301e+02	3.64059322e+03	9.62345339e+02
0.1            	bottom	3.58534646e+01	3.90192984e+03	1.34680816e+03
0.1            	top	0.00000000e+00	1.85136580e+02	3.43611620e+01
0.1            	front	2.32439752e+02	3.64059306e+03	9.62345341e+02
0.12           	left	2.24602612e+02	2.30507392e+02	2.29095193e+02
0.12           	right	2.27471673e+02	3.42185687e+03	1.97722000e+03
0.12           	stlSurface	2.93670682e+01	7.15918340e+01	3.93415364e+01
0.12           	back	2.23789062e+02	3.59817834e+03	9.37635132e+02
0.12           	bottom	3.26506098e+01	3.95753255e+03	1.35749915e+03
0.12           	top	0.00000000e+00	2.09980941e+02	3.96346605e+01
0.12           	front	2.23788287e+02	3.59818630e+03	9.37635499e+02
0.14           	left	2.16242884e+02	2.23331706e+02	2.21708230e+02
0.14           	right	2.19416799e+02	3.31415147e+03	1.91258011e+03
0.14           	stlSurface	2.69860687e+01	7.09322837e+01	3.79533500e+01
0.14           	back	2.15832611e+02	3.57372167e+03	9.16216523e+02
0.14           	bottom	3.00033900e+01	4.02450989e+03	1.37445418e+03
0.14           	top	0.00000000e+00	2.16852176e+02	4.11979200e+01
0.14           	front	2.15832840e+02	3.57370589e+03	9.16217781e+02
0.16           	left	2.08486895e+02	2.16778713e+02	2.14938705e+02
0.16           	right	2.11980709e+02	3.21534222e+03	1.85307555e+03
0.16           	stlSurface	2.49847199e+01	7.05174613e+01	3.68431057e+01
0.16           	back	2.08333592e+02	3.55923700e+03	8.96374908e+02
0.16           	bottom	2.77782698e+01	4.11206665e+03	1.39744837e+03
0.16           	top	0.00000000e+00	2.21560297e+02	4.19763039e+01
0.16           	front	2.08332566e+02	3.55917798e+03	8.96376025e+02
0.18           	left	2.01271927e+02	2.10771403e+02	2.08713083e+02
0.18           	right	2.05096716e+02	3.12432374e+03	1.79808735e+03
0.18           	stlSurface	2.32786907e+01	7.03084911e+01	3.59393790e+01
0.18           	back	2.01124101e+02	3.55136572e+03	8.75297669e+02
0.18           	bottom	2.58814888e+01	4.20104594e+03	1.42558184e+03
0.18           	top	0.00000000e+00	2.24911014e+02	4.22302869e+01
0.18           	front	2.01122939e+02	3.55124923e+03	8.75297719e+02
0.2            	left	1.94543655e+02	2.05250258e+02	2.02969586e+02
0.2            	right	1.98709146e+02	3.04018076e+03	1.74709801e+03
0.2            	stlSurface	2.18076507e+01	7.02719788e+01	3.51941283e+01
0.2            	back	1.94400973e+02	3.56199984e+03	8.57418374e+02
0.2            	bottom	2.42459714e+01	4.29226112e+03	1.45799933e+03
0.2            	top	0.00000000e+00	2.25625046e+02	4.18435581e+01
0.2            	front	1.94399648e+02	3.56191493e+03	8.57417259e+02
0.22           	left	1.88254772e+02	2.00155661e+02	1.97654909e+02
0.22           	right	1.92771697e+02	2.96214829e+03	1.69967153e+03
0.22           	stlSurface	2.05259945e+01	7.03886372e+01	3.45759861e+01
0.22           	back	1.88116876e+02	3.58847446e+03	8.42726025e+02
0.22           	bottom	2.28210127e+01	4.38139673e+03	1.51378550e+03
0.22           	top	0.00000000e+00	2.50609158e+02	4.47032320e+01
0.22           	front	1.88115419e+02	3.58830499e+03	8.42723751e+02
0.24           	left	1.82364154e+02	1.95451892e+02	1.92727123e+02
0.24           	right	1.87246085e+02	2.88958138e+03	1.65543654e+03
0.24           	stlSurface	1.93990248e+01	7.07095468e+01	3.40813470e+01
0.24           	back	1.82230623e+02	3.62108668e+03	8.30002399e+02
0.24           	bottom	2.15680362e+01	4.49171255e+03	1.57225774e+03
0.24           	top	0.00000000e+00	2.41991341e+02	4.39394130e+01
0.24           	front	1.82229162e+02	3.62083606e+03	8.29999524e+02
0.26           	left	1.76835808e+02	1.91096811e+02	1.88151730e+02
0.26           	right	1.82100950e+02	2.82192499e+03	1.61406966e+03
0.26           	stlSurface	1.84006289e+01	7.13213214e+01	3.37209954e+01
0.26           	back	1.76706386e+02	3.65873941e+03	8.15852494e+02
0.26           	bottom	2.04580093e+01	4.57938166e+03	1.62064375e+03
0.26           	top	0.00000000e+00	2.35197567e+02	4.26411369e+01
0.26           	front	1.76704908e+02	3.65822012e+03	8.15849472e+02
0.28           	left	1.71638173e+02	1.87069990e+02	1.83900608e+02
0.28           	right	1.77307555e+02	2.75864688e+03	1.57528710e+03
0.28           	stlSurface	1.75102763e+01	7.23642751e+01	3.35211166e+01
0.28           	back	1.71512679e+02	3.73311452e+03	8.04151566e+02
0.28           	bottom	1.94681062e+01	4.65445533e+03	1.66730587e+03
0.28           	top	0.00000000e+00	2.29714865e+02	4.12180733e+01
0.28           	front	1.71511121e+02	3.73287218e+03	8.04148322e+02
0.3            	left	1.66743415e+02	1.83342286e+02	1.79949768e+02
0.3            	right	1.72840021e+02	2.69928694e+03	1.53883068e+03
0.3            	stlSurface	1.67114184e+01	7.40194326e+01	3.35137832e+01
0.3            	back	1.66621634e+02	3.81684462e+03	7.96233942e+02
0.3            	bottom	1.85799276e+01	4.72160363e+03	1.75113396e+03
0.3            	top	0.00000000e+00	2.54679843e+02	4.24341136e+01
0.3            	front	1.66619986e+02	3.81648650e+03	7.96229854e+02
0.32           	left	1.62124807e+02	1.79892047e+02	1.76276058e+02
0.32           	right	1.68671935e+02	2.64340952e+03	1.50443526e+03
0.32           	stlSurface	1.59906522e+01	7.65311634e+01	3.37428241e+01
0.32           	back	1.62006532e+02	3.88136100e+03	7.85288313e+02
0.32           	bottom	1.77785723e+01	4.80488682e+03	1.81051128e+03
0.32           	top	0.00000000e+00	2.42487091e+02	4.20325262e+01
0.32           	front	1.62004797e+02	3.88090322e+03	7.85284025e+02
0.34           	left	1.57761317e+02	1.76703348e+02	1.72861181e+02
0.34           	right	1.64782557e+02	2.59066245e+03	1.47186294e+03
0.34           	stlSurface	1.53376405e+01	8.02381085e+01	3.42792679e+01
0.34           	back	1.57646383e+02	3.95084044e+03	7.78293778e+02
0.34           	bottom	1.70525472e+01	4.89327681e+03	1.86301482e+03
0.34           	top	0.00000000e+00	2.33293177e+02	4.03557691e+01
0.34           	front	1.57644537e+02	3.95048828e+03	7.78289448e+02
0.36           	left	1.53633316e+02	1.73752750e+02	1.69687055e+02
0.36           	right	1.61153139e+02	2.54075652e+03	1.44084164e+03
0.36           	stlSurface	1.47429913e+01	8.58566245e+01	3.52894086e+01
0.36           	back	1.53521450e+02	4.03280245e+03	7.72620534e+02
0.36           	bottom	1.63914101e+01	4.96043580e+03	1.95013544e+03
0.36           	top	0.00000000e+00	2.52302520e+02	4.02597446e+01
0.36           	front	1.53519591e+02	4.03238098e+03	7.72615649e+02
0.38           	left	1.49723921e+02	1.71031207e+02	1.66737726e+02
0.38           	right	1.57768878e+02	2.49439209e+03	1.41103788e+03
0.38           	stlSurface	1.41999494e+01	9.54564642e+01	3.73348529e+01
0.38           	back	1.49614937e+02	4.08610528e+03	7.65975748e+02
0.38           	bottom	1.57876504e+01	5.02025161e+03	2.01446032e+03
0.38           	top	0.00000000e+00	2.39912832e+02	4.07645747e+01
0.38           	front	1.49613090e+02	4.08565709e+03	7.65971676e+02
0.4            	left	1.46017888e+02	1.68517131e+02	1.63998525e+02
0.4            	right	1.54617888e+02	2.45056077e+03	1.38194043e+03
0.4            	stlSurface	1.37027592e+01	1.16171363e+02	4.27587142e+01
0.4            	back	1.45911569e+02	4.14061043e+03	7.58411959e+02
